artist,lastfm_listeners,lastfm_playcount,similar_1,similar_2,similar_3
Chris Lilley,10498,105655,S.mouse,Mr G,Andrew Hansen
Chris Lorenzo,278111,2248645,Chris Lake,Mau P,Cloonee
Chris Malinchak,291801,2416599,Louis La Roche,Moon Boots,Le Youth
Chris McClarney,28238,282744,Marc James,Rita Springer,Rick Pino
Chris Montez,172570,881211,Jimmy Clanton,Gary Lewis & The Playboys,Lou Christie
Chris Rea,1150437,13826000,Joe Cocker,Dire Straits,Mark Knopfler
Chris Robinson,20795,160867,Marc Ford,Rich Robinson,Chris & Rich Robinson
Chris Spedding,66285,351901,The Inmates,Dr. Feelgood,Graham Parker
Chris Stapleton,662193,20571214,Tyler Childers,The SteelDrivers,Luke Combs
Chris Thile,180891,1984664,Punch Brothers,Nickel Creek,Sara Watkins
Chris Tomlin,354667,8734291,Matt Redman,Phil Wickham,Casting Crowns
Christ Agony,12358,479488,Besatt,Lux Occulta,Hate
Christer Sjögren,27953,220060,Vikingarna,Jan Malmsjö,Thorleifs
Christian Anders,39251,345300,Bernd Clüver,Ireen Sheer,Kristina Bach
Christian Borle,147487,3282491,'Falsettos' 2016 Broadway Company,Stephanie J. Block,Andrew Rannells
Christian Cambas,24868,128698,SRVD,deep dimension,Dj Jordan
Christian Death,414939,10227675,Shadow Project,Alien Sex Fiend,Mephisto Walz
Christian Finnegan,51535,512797,Kyle Cease,Ralphie May,Dana Gould
Christian French,244779,4572219,Quinn XCII,Jake Scott,Jeremy Zucker
Christian Kuria,309655,5477691,Rini,Mac Ayres,Jeff Bernat
Christian Lais,10278,121886,Uwe Busse,Olaf Berger,Nik P.
Christian Leave,493619,6903415,Ritt Momney,Del Water Gap,Declan McKenna
Christian Löffler,317047,6309798,Max Cooper,Gidge,Kiasmos
Christian Peterson-Bergling,43871,200945,Niwa Nova,Alain Pironi,Nadav Amir-Himmel
Christian Smith,57229,282425,Mario Ochoa,Victor Ruiz,Joyhauser
Christina Novelli,35501,299391,Craig Connelly,Ashley Wallbridge,Roman Messer
Christina Perri,1662253,23125520,Rachel Platten,Colbie Caillat,Anna Nalick
Christine Ebersole,7463,49843,Lauren Kennedy,Betty Buckley,Emily Skinner and Alice Ripley
Christine Fan,9271,113391,Victor Wong,Pets tseng,Jia Jia
Christine Leyser,3045,16607,Pia Allgaier,Bernd Wippich,"Bernd Wippich, Manuel Straube, Pia Allgaier, Tommy"
Christoph Willibald Gluck,381383,1931171,Gaetano Donizetti,Giuseppe Verdi,Georg Friedrich Händel
Christophe,155195,1454336,Alain Bashung,Julien Clerc,Michel Delpech
Christopher Coe,1182,3217,Harmonik Kontrol,Charlie Thorstenson,Mat Playford
Christopher Cross,627009,5991223,Ambrosia,Michael McDonald,England Dan & John Ford Coley
Christopher Dicker,115260,552312,Ledetraad,Elliott Jack Sansom,Ole-Bjørn Talstad
Christopher Fitzgerald,209412,1755007,Idina Menzel & Leo Norbert Butz,Kristin Chenoweth,Kristin Chenoweth & Idina Menzel
Christopher Jackson,464579,7295242,Leslie Odom Jr.,Phillipa Soo,Renée Elise Goldsberry
Christopher Martin,55760,399836,Romain Virgo,Busy Signal,Tarrus Riley
Christopher Titus,34985,509054,Ralphie May,Christian Finnegan,John Pinette
Christopher Wong,4186,60887,Đức Trí,GARRETT CROSBY,Debbie Wiseman
Christopher Zondaflex Tyler,881,5561,Ballet Preschool Party,Kimbo Children's Music,Kate Kuper and Neal Robinson
Christy Altomare,151765,1748268,Ramin Karimloo,Derek Klena,Liz Callaway
Christy Nockels,87701,804377,Kristian Stanfill,Charlie Hall,Brenton Brown
Chromatics,1051481,23168162,Glass Candy,Johnny Jewel,Symmetry
Chrome Sparks,388537,5388089,Slow Magic,Giraffage,Evenings
Chronic Law,8402,178991,Jahshii,Rygin King,Malie Donn
Chronixx,135778,1709147,Protoje,Kabaka Pyramid,Jesse Royal
ChuChu TV,13377,127297,Mogul Music Inc.,Mellodees,Amy Samu
Chubb Rock,79488,366780,Heavy D & The Boyz,Special Ed,Marley Marl
Chubby Checker,526729,2954997,Bill Haley,Eddie Cochran,Bill Haley & His Comets
Chuck Berry,2281241,27659530,Little Richard,Jerry Lee Lewis,Carl Perkins
Chuck Ragan,101649,4882137,Dave Hause,Brian Fallon,The Gaslight Anthem
Chuckie,213376,1140821,Afrojack,Fedde Le Grand,Laidback Luke
Chulito Camacho,8352,79994,Mr. Rango,Hermano L,Morodo
Chullo,12755,63580,P.A.V,fwd/slash,Jane Good
Chumbawamba,882172,9351656,Crass,Billy Bragg,Against Me!
Chuva Negra,10625,814398,Garage Fuzz,Zander,Dead Fish
Chuy Lizarraga y Su Banda Tierra Sinaloense,28819,208802,La Numero 1 Banda Jerez De Marco A. Flores,Saul El Jaguar Alarcón,Julio Preciado y Su Banda Perla del Pacifico
Chyi Chin,7632,53152,Zhang Yu Sheng,Chiang Yu-Heng,Dave Wang
Ciaran Lavery,208916,1048209,Joshua Burnside,James Vincent McMorrow,Glen Hansard
Cibo Matto,446077,8150808,Miho Hatori,POiSON GiRLFRiEND,Buffalo Daughter
Cicco Sanchez,6188,79859,JayRed,Michele Merlo,Highsnob
Cid Rim,75694,620238,Dorian Concept,Machinedrum,Lone
Cidade Negra,181080,2818702,Jota Quest,Os Paralamas Do Sucesso,Skank
Cidade Verde Sounds,16536,189453,Amanajé Sound System,Daniel Profeta,Filosofia Reggae
Cidadão Quem,55817,1232121,Vera Loca,Pouca Vogal,Nenhum de Nós
Cidergirl,85737,1324196,Sumika,KANA-BOON,Necry Talkie
Cielo Razzo,9089,332492,El Bordo,La 25,Salta la Banca
Cielo Torres,2305,12431,You Salsa,Yahaira Plasencia,Bembe Orquesta
Cigarettes After Sex,2279801,211201114,Strawberry Guy,"Dream, Ivory",Bubble Tea and Cigarettes
Cinco,13947,265807,Guy2Bezbar,Diddi Trix,La Fève
Cinderella,615310,8786989,Ratt,Poison,Warrant
Cindy Combs,3782,26475,John Keawe,Leonard Kwan,Ray Kane
Cindy Yen,5258,67150,梁心頤,范瑋琪,陳芳語
Cine,96990,2332937,Restart,Strike,NX Zero
Circa Survive,708613,39572399,Anthony Green,Saosin,L.S. Dunes
Circle Jerks,360586,7109519,Descendents,Black Flag,Adolescents
Circle Of Dead Children,24863,835523,Disavowed,Orchidectomy,Birdflesh
Circle of Dust,58260,1263992,Celldweller,Argyle Park,Blue Stahli
Circle of Life,5296,17147,Manu Cerasa,Kadhem,Gus (MT)
Circuito Musical,5174,34993,Capital Do Sol,Carta de Baralho,Mel com Terra
Circuladô de Fulô,22155,289885,Forrueiros,Chama Chuva,Estakazero
Circulando De Fulo,12679,91286,Dois Dobrado,Ó do Forró,Peixelétrico
Circus No. 9,537,2649,Songs From The Road Band,Mile Twelve,Tray Wellington
Ciro y los Persas,48123,1120295,Los Piojos,Callejeros,Intoxicados
City Wolf,38668,498171,Oh The Larceny,Royal Deluxe,Club Danger
Civil Twilight,241403,2708123,Morning Parade,Mutemath,Carolina Liar
Civilní Obrana,1906,47816,Rybičky 48,zakázaný ovoce,The Fialky
Cixx,5247,21701,DJ Weirdo & DJ Sim,Dr. Phil Omanski,James Daltan
Claire Kuo,9761,126713,Rachel Liang,Pets tseng,Jia Jia
Claire Lynch,24102,166066,Alison Krauss & the Cox Family,Blue Highway,The Grascals
Claire Rosinkranz,570531,8407870,Aidan Bissett,Lyn Lapid,Ūla
Clairo,2343892,236446865,Shelly,beabadoobee,The Marías
Clan of Xymox,360441,9853736,Xymox,The Frozen Autumn,Fields of the Nephilim
Clannad,514389,8412605,Moya Brennan,Capercaillie,Máire Brennan
Claptone,337156,3461488,CamelPhat,ZHU,Hot Since 82
Clara Cava,17502,263096,Femi,Vinocio,Latelonius
Clara Mae,167579,1929042,shy martin,Anna Clendening,Loote
Clara Nunes,267964,4547826,Beth Carvalho,Martinho Da Vila,Paulinho da Viola
Clara Valverde,64380,800261,Lamparina,Clara x Sofia,Julio Secchin
Clarence Frogman Henry,153264,618410,Jackie DeShannon,Lloyd Price,The Rooftop Singers
ClariS,177336,7913283,TrySail,ChouCho,fripSide
Claribel Ramón,43762,130833,Haakon Stange,Mauro Cangemi,Élise Aucoin
Clarice Falcão,317908,15081705,Manu Gavassi,Letrux,Banda do Mar
Clarx,91188,1013678,Unknown Brain,3rd Prototype,Diamond Eyes
Classic,37335,274330,Вульгарный Тонн,228,Вульгарный Кто
Claude Barzotti,25754,175094,C. Jérôme,Hervé Vilard,Daniel Guichard
Claude Debussy,1850325,34726882,Maurice Ravel,Franz Liszt,Robert Schumann
Claude VonStroke,231817,1690423,Green Velvet,Super Flu,Dusty Kid
Claude Young,17986,88403,Dan Curtin,Jeff Mills,The Advent
Claude-Michel Schönberg,193176,4165698,Russell Crowe,Isabelle Allen,Eddie Redmayne
Claudia Jung,39704,609188,Kristina Bach,Bernhard Brink,Ireen Sheer
Claudia Koh,1054,10035,Kendy Suen,Tsang Lok Tung,Regen C.
Claudia Leitte,133735,4218933,Babado Novo,Ivete Sangalo,Daniela Mercury
Claudio Arrau,82365,1222568,Михаил Плетнёв,Владимир Ашкенази,Alfred Brendel
Claudio Estrada,1029,5646,Ramon Dona-Dio,Gilberto Puente,Juan Veronico
Claudio Marciello,1663,27918,Horcas,O'Connor,Aonikenk
Claustrofobia,24111,606981,Korzus,Torture Squad,Krisiun
Clawfinger,337075,8226322,H-Blockx,Methods Of Mayhem,Stuck Mojo
Clayton & Romário,89841,1757756,Hugo & Guilherme,George Henrique & Rodrigo,Israel & Rodolffo
Clayton Queiroz,1187,5583,Raquel Silva,Alugiana,Georgete Rocha
Clea Vincent,35829,344258,Pépite,Bleu Toucan,L'Impératrice
Clean Bandit,2106818,41971199,Jonas Blue,Sigala,The Chainsmokers
Cleber & Alex,2300,9939,Mayke & Rodrigo,Netto & Henrique,Marco Antonio & Gabriel
Cleber & Cauan,47676,383702,Guilherme & Santiago,George Henrique & Rodrigo,Israel & Rodolffo
Cleiton E Camargo,20388,134754,Alan E Aladim,Zezé Di Camargo & Luciano,João Paulo & Daniel
Clem Leek,277890,2759982,Ever So Blue,Leah Kardos,Julien Marchal
Clementina De Jesus,74086,653907,Dona Ivone Lara,Paulinho da Viola,Beth Carvalho
Clementine Duo,78905,352223,Isabella Celander,Halloran & Kate,Handsome and Gretyl
Cleverson Silva,979,9487,ONE Service,Riverson Vianna,Paloma Possi
Cliff Martinez,365589,9229207,Clint Mansell,Hans Zimmer & Benjamin Wallfisch,Trent Reznor and Atticus Ross
Cliff Richard,665560,4613946,Cliff Richard & The Shadows,David Essex,Donny Osmond
Cliff Richard & The Drifters,14950,54288,Charlie Gracie,Vince Taylor & His Playboys,Craig Douglas
Cliff Richard & The Shadows,108802,642683,Cliff Richard,Gerry & The Pacemakers,The Everly Brothers
Climie Fisher,130982,669387,Limahl,Brother Beyond,Johnny Hates Jazz
Clint Is Quinn,33604,78855,Tally Tilly,Spice Rack,Wasted Glitter
Clint Mansell,1053617,31164352,Cliff Martinez,John Murphy,James Newton Howard
Clinton Jackson,7661,34865,Don Friesen,Margaret Smith,Kristin Key
Clinton Kane,384947,8247682,Anson Seabra,Dean Lewis,Forest Blakk
Clio,128148,1246613,Alice et Moi,P.r2b,Pomme
Clockartz,11547,165487,RVAGE,B-Freqz,Degos & Re-Done
Clonnex,17060,520971,THRILL PILL,PLOHOYPAREN,Kai Angel
Closehead,3149,77189,Rocket Rockers,Pee Wee Gaskins,Glory of Love
Cloud 11,5658,40308,XANSEII.,Diego Mcn,89ine
Cloud Rat,50258,1594473,Closet Witch,Wormrot,Fluoride
Clovercroft Kids,4072,19821,Ernie Rettino,Mogul Music Inc.,Sing n Play
Club Kuru,128258,1034394,Sugar Candy Mountain,Ceramic Animal,Post Animal
Club des Belugas,252511,3691124,JoJo Effect,De-Phazz,Gabin
ClubDub,3780,125204,Birnir,Daniil,Aron Can
Clube Do Balanço,34843,285938,Teresa Cristina,Bebeto,Jackson do Pandeiro
Cluster,231485,2916852,Harmonia,Cluster & Brian Eno,NEU!
Clutch,491846,24239579,The Company Band,Red Fang,Corrosion of Conformity
Clyde McPhatter,106526,442775,Clyde McPhatter & The Drifters,LaVern Baker,Big Joe Turner
Clément Leroux,41417,179163,trackhead,Indigo Pool,Holow
CoCo Lee,41076,669454,蕭亞軒,張惠妹,蔡依林
CoComelon,125976,4309048,Vicky Arlidge,Pinkfong,Little Baby Bum Nursery Rhyme Friends
Coach Bennet,6308,97982,Eazim,samo104,Nullzweizwei
Coach Kody,1210,2424,Pierce Freelon,Jools TV,Pj Panda
Coal Chamber,642555,9734925,Dry Kill Logic,Mudvayne,Static-X
Cobra Skulls,68306,1429615,Dead to Me,The Copyrights,The Lawrence Arms
Cobra Starship,1483137,33284285,The Academy Is...,Fall Out Boy,Midtown
Cock Robin,169716,1266109,Paul Young,Mr. Mister,Johnny Hates Jazz
Cocktail Slippers,8835,79445,The Len Price 3,The Launderettes,The Woggles
Coco & Breezy,101527,509670,Mild Minds,Austin Millz,Emmit Fenn
Code Black,56479,882748,Keltek,Frontliner,Wildstylez
Codename Chinadoll,44321,160804,lokeyz,reeperzehn,Vee Dae
Cody,24036,272691,Nikolaj Nørlund,Christian Hjelm,Mikael Simpson
Cody Fry,480791,7062519,JVKE,AJR,Em Beihold
Cody Johnson,198378,6129607,Riley Green,Parker McCollum,Luke Combs
Cody Lovaas,68840,427643,Kayden,Devin Kennedy,Chris James
Coffee Cub,34001,186622,Rayn,Jane Good,Friends & I
Coffeekids,1502,5333,Vincent Boral,It's DPK,Shantanu Avinashi
Coheed and Cambria,1042865,63630899,The Prize Fighter Inferno,The Dear Hunter,Thank You Scientist
Coiffeur,36037,964409,El Robot Bajo El Agua,Javier Barría,Francisco Bochatón
Cokobi,44517,288452,Marie Protivová,Lorelle Paredes,Dream Flows
Cola Jet Set,24304,283846,La Monja Enana,Me Enveneno De Azules,Vacaciones
Cold,797148,15084205,Earshot,10 Years,Evans Blue
Cold Beat,30341,229791,jeanines,Dummy,En Attendant Ana
Cold Blood,30865,146698,The Headhunters,Tower of Power,Rufus Thomas
Cold Cave,268599,5909639,Drab Majesty,Linea Aspera,Buzz Kull
Cold Confusion,4966,29725,Lumex,Imperatorz,Physika
Cold Hart,229119,5179805,,,
Cold War Kids,1712264,35053355,Young the Giant,Grouplove,Delta Spirit
Coldcut,532279,5320526,DJ Food,Hexstatic,London Funk Allstars
Colde,403276,21036437,Dvwn,Rad Museum,Dean
Coldplay,7960872,616266596,Keane,Imagine Dragons,Snow Patrol
Coldworker,16730,345723,Afgrund,Deathbound,Sayyadina
Cole Swindell,209092,3824057,Chris Young,Thomas Rhett,Florida Georgia Line
Colette Lush,57914,521830,Alayna,Loony,Janine
Colin & Caroline,123629,591738,The Mayries,Megan Davies,Sara Farell
Colin Donnell,9375,83441,Zachary Levi,Santino Fontana,Nicholas Barasch
Collabro,18461,234498,Adam Jacobs,Original Cast of Billy Elliot,Megan McGinnis
Collective Soul,1174336,15659299,Better Than Ezra,Tonic,The Wallflowers
College,664399,7862032,Electric Youth,Anoraak,FM Attack
Collide,149136,3071470,Ego Likeness,Kidneythieves,Android Lust
Collie Buddz,373315,4266675,Stephen Marley,Tribal Seeds,Protoje
Collin Raye,164599,1638621,Doug Stone,Diamond Rio,Little Texas
Colo de Deus,24182,1266441,Fraternidade São João Paulo II,Comunidade Católica Colo de Deus,Frei Gilson
Colombo,32547,305900,Sekret Chadow,Disqonnect,3D Stas
Colonel Reyel,36522,314447,Sexion d'Assaut,Black M,Tal
Colorstone,390,3270,Lover Under Cover,Wigelius,House of Shakira
Colour Castle,12403,42351,George Sandler,Pool Attendant,Another Chemical Love Story
Columbine,41685,2629545,SCH,Peet,Lujipeka
Colyn,44078,336069,INNELLEA,Adriatique,Kevin De Vries
Coma,345839,37285568,Piotr Rogucki,happysad,Hey
Comaduster,17542,278006,Dead When I Found Her,Access to Arasaka,FreqGen
Combichrist,369022,18650845,Suicide Commando,Grendel,Icon of Coil
Comedian Bob Marley,7169,90535,Sean Rouse,Paula Poundstone,Steve Hofstetter
Comisario Pantera,37331,696796,Odisseo,Enjambre,Camilo Séptimo
Commix,169846,1737418,Calibre,Marcus Intalex,Nu:Tone
Commodores,1229168,9813562,Lionel Richie,The O'Jays,The Isley Brothers
Common Rider,135481,1624365,Against All Authority,Operation Ivy,The Suicide Machines
Compa,7175,43200,Perverse,Tunnidge,Thelem
Companhia do Calypso,44989,1267937,Banda Calypso,Joelma,Banda Magníficos
Company,119714,1002002,Orchestra,Nathan Lane,Angela Lansbury
"Company of SpongeBob SquarePants, The New Musical",14908,152064,Danny Skinner,Jason Michael Snow,Curtis Holbrook
Compton's Most Wanted,245901,1705033,MC Eiht,DJ Quik,King Tee
Compulsive Gamblers,47721,506335,Reigning Sound,Oblivians,The Gories
Comunidade Católica Shalom,12680,353047,Ministério Adoração e Vida,Vida Reluz,Frei Gilson
Comunidade Evangélica Internacional da Zona Sul,5426,53433,Ministério Nova Jerusalém,Ministério Koinonya de Louvor,Comunidade de Nilópolis
Comunidade Evangélica de Maringá,3191,24863,Ronaldo Medeiros,Toque no Altar,Nani Azevedo
Comunidade Nin-jitsu,22180,505310,Tequila Baby,Vera Loca,Ultramen
Con Alma,91254,466237,Noemi Lucas,Leisel Walker,carluccio
Con Funk Shun,161369,1090849,L.T.D.,Slave,Heatwave
Conan,80987,1736816,Bongripper,Slomatics,Ufomammut
Conan Gray,1959703,170697818,Gracie Abrams,Maisie Peters,Ricky Montgomery
Conan Osíris,16762,404594,Zala Kralj & Gašper Šantl,Jonida Maliqi,Ester Peony
Concept Art,7053,50272,Pherato,Energyzed,Proto Bytez
Concord Dawn,149253,2083081,Moving Fusion,Rawthang,State Of Mind
Conde do Forró,30305,335031,Banda A Loba,Bonde do Brasil,Moleca 100 Vergonha
ConeCrewDiretoria,135535,5121976,Haikaiss,Costa Gold,Class A
Confess,14410,157555,Crazy Lixx,Bai Bang,BlackRain
Confession,55032,1657439,I Killed the Prom Queen,For the Fallen Dreams,Stick to Your Guns
Congo Natty,102816,998926,Serial Killaz,General Levy,Top Cat
Conjunto Berretin,2987,12006,Ernesto Fama Con La Orq. Típica Porteña,Discepolo,Florindo Sassone Y Su Orquesta
Conjunto Chaney,11102,65697,PEDRO ARROYO,Roberto Lugo,Cano Estremera
Conjunto Clásico,7780,38232,Bobby Cruz,Wayne Gorbea,Raphy Leavitt
Conjunto Ivoti,2117,11668,Los Reyes Del Chamame,Los Alonsitos,Los De Mailin
Conjure One,434394,6650976,Delerium,Sleepthief,Balligomingo
Connate Exasperation,176,2207,Order ov Riven Cathedrals,Banisher,Dysmorphic
Conner Smith,56053,835021,Josh Ross,Tyler Hubbard,Corey Kent
Connie Francis,602393,10499673,Peggy March,Kitty Kallen,Jo Stafford
Connor Price,393892,10499032,Nic D,callmestevieray,ChrispyD
Connor Questa,1239,44480,Marilina Connor Questa,Más Que Uno,Parteplaneta
Conociendo Rusia,52739,1917437,El Zar,El Kuelgue,Bandalos Chinos
Conor Matthews,55728,518568,Boy in Space,Why Don't We,Anthony Russo
Conquer Divide,99630,1726684,As Everything Unfolds,Future Palace,Dream State
Conrado & Aleksandro,25081,324963,Munhoz & Mariano,Loubet,Jads & Jadson
Conro,177614,2535106,,,
Conroy Smith,13589,52991,Courtney Melody,Echo Minott,Pad Anthony
Consciência Humana,10957,136083,De Menos Crime,Realidade Cruel,Facção Central
Consoul Trainin,51304,310759,Даня Милохин,Junona Boys,Beatrich
Constance Demby,62722,582582,Ray Lynch,Medwyn Goodall,2002
Contra,29474,801999,Ceza,Hidra,norm ender
Control Freak,15579,146526,Joeb,Virtual Riot,Calcium
Convictions,28027,601552,Bloodlines,"Oh, Sleeper",Phinehas
Conway the Machine,349775,12041269,Benny the Butcher,Westside Gunn,Griselda
Cookie Monsta,148149,1520392,FuntCase,Excision & Downlink,Datsik
Cookiee Kawaii,305414,2637383,Lay Bankz,fazobeats,UNiiQU3
Cool Candys,6631,42452,Tommys,Bhonus,Titanix
Coolio,1811959,14271577,2Pac,Naughty By Nature,Ice Cube
Cooltime Kids,10528,71090,The Hit Crew Kids,Old Town School of Folk Music,big block singsong
Coone,138886,2728324,Da Tweekaz,Brennan Heart,D-Block & S-te-Fan
Coqeéin Montana,3673,46290,Kmd Label,Osx Mob,Mike Southside
Coral Kadmiel,867,10047,Coral resgate para a vida,Coral Resgate,Coral Voice Soul
Coral Palestrina,4666,41671,Cantos do Hinário Litúrgico da CNBB,Míria Therezinha Kolling,"Pe. Joãozinho, scj"
Coral Voice Soul,1337,11811,Coral Resgate,Coral resgate para a vida,CORAL KADMIEL
Coral Vozes Guerreiras,50414,317391,Pagode da Tia Doca,Arlindo Cruz,Grupo Fundo De Quintal
Corazón,6345,69670,Mirafiori,Cola Jet Set,La Monja Enana
Corey Hart,474151,2822563,Glass Tiger,Loverboy,Cutting Crew
Corey Smith,64524,747830,Casey Donahew Band,Josh Thompson,The Lost Trailers
Corinne Bailey Rae,1866662,23630962,Joss Stone,India.Arie,Lianne La Havas
Corneille,69560,705029,Tragédie,KeBlack,Dadju
Cornelis Vreeswijk,119834,4665222,Björn Afzelius,Nationalteatern,Ted Gärdestad
Cornmeal,15379,92031,Hot Buttered Rum,Danny Barnes,South Austin Jug Band
Coro - Pocahontas,472,2605,Franco Chillemi,Paola Gianetti,Manuela Villa
Coro Chile Canta,1117,2276,Conjunto Millaray,Silvia Infantas y Los Baqueanos,Héctor Pavez
Corporate Hearts,18347,290380,Ankle Grease,Just Nick,Not Half Bad
Correatown,48324,257404,Hayley Taylor,Mariah McManus,Jont
Corroded,51896,853829,Days of Jupiter,Ammotrack,Dead City Ruins
Corrosion Of Conformity,365761,8389283,Down,Clutch,Orange Goblin
Cortex,583367,8948195,Piero Umiliani,Alan Tew,Tarika Blue
Cortijo Y Su Combo,14505,88722,Rafael Cortijo,Orchestra Harlow,Tommy Olivencia y Su Orquesta
Coruja Bc1,51978,1080700,Amiri,ADL,Rashid
Corvad,24124,162314,One True God,Karma Fields,Rezz
Cory Asbury,89465,1593561,Phil Wickham,Elevation Worship,Brandon Lake
Cosculluela,250676,3015582,Anuel AA,Ñengo Flow,Miky Woodz
Cosmic Boys,42365,244193,Teenage Mutants,Space 92,Spartaque
Cosmic Gate,433901,6209784,Ferry Corsten,Rank 1,Dash Berlin
Cosmic Psychos,28309,404393,Hard-Ons,Stiff Richards,The Chats
Cosmonov,951,6637,AnDrew DeXx,Steve Judge,SERES STECH
Cosmos People,9594,127414,Pa Pun Band,Crispy脆樂團,冰球樂團
Costa Gold,167278,5337483,Haikaiss,ConeCrewDiretoria,Djonga
Costa Mee,14267,217079,Paul Lock,Nando Fortunato,Housenick
Coti,177732,1344695,Nena Daconte,Amaral,Alex Ubago
Cottonwood Firing Squad,284024,2918072,German Error Message,"Slaughter Beach, Dog",Dr. Dog
Count Five,143563,826225,The Smoke,The Litter,The Chocolate Watch Band
Counterparts,215990,14941918,Boundaries,End,Foreign Hands
Counting Crows,2683210,47726571,Toad The Wet Sprocket,Gin Blossoms,The Wallflowers
Counting Tides,57080,406567,Carligo,Jack Rosslyn,Chopade
Couple Skate,11955,185604,Bloat,TOUGHGUY,Haggus
Courting,72668,1551601,Sports Team,Shame,Yard Act
Covers Culture,6572,88110,Filip Nordin,Son&Dad,Normandy
Cowboy Copas,12024,61668,Hawkshaw Hawkins,Floyd Tillman,Little Jimmy Dickens
Coyote Oldman,31953,447208,R. Carlos Nakai,Aroshanti,Nawang Khechog
Cr3on,8599,31733,JRVO,bodin,Single Spark
Cr7z,11041,655101,Absztrakkt,Amewu,Prezident
Cradle Of Filth,715727,41570175,Dimmu Borgir,Old Man's Child,Hecate Enthroned
Craft,70880,2210898,Armagedda,Urgehal,Carpathian Forest
Craig Armstrong,708498,9172543,Dario Marianelli,Thomas Newman,Rachel Portman
Craig David,1124186,14121923,Blue,Jay Sean,Christina Milian
Craig Ferguson,12674,104309,John Caparulo,Greg Warren,Greg Behrendt
Craig Mack,238256,1364877,Erick Sermon,Das EFX,Keith Murray
Craig Ogden,30735,131663,Duo Llobet,Sonja Prunnbauer,Celia Linde
Craig Shoemaker,19263,131132,Henry Cho,Jimmy Dore,Ralphie May
Craig Urquhart,22718,175490,Solomon Keal,Jeff Bjorck,Joseph Akins
Craig Xen,238774,3146379,Bass Santana,Kin$oul,Kid Trunks
Crankdat,94316,1512747,,,
Crashville,1650,30928,Rotlaus,Vassendgutane,Staysman
Crate Diggers,51649,201340,Beat Oven,Dazik69,Lazy Leopard
Crazibiza,44622,203365,Block & Crown,Angelo Ferreri,Martin Ikin
Crazy Ken Band,28006,1027737,奥田民生,真心ブラザーズ,ユニコーン
Crazy Krauts,967,2564,Mauerpark Community,Traudel At Work,Sven & Olav
Crazy Otto,2369,14843,Johnny Maddox,Kenny Munshaw,Knuckles O'Toole
Crazy P,220999,2425616,Payfone,Hot Toddy,Lovebirds
Crazy Town,1044211,9496735,P.O.D.,(hed) Planet Earth,Limp Bizkit
CrazyBoy,4503,68583,DOBERMAN INFINITY,EXILE THE SECOND,J Soul Brothers III from EXILE TRIBE
Cream,2496414,38495553,The Yardbirds,Derek and the Dominos,Blind Faith
Creed,1977267,40030042,Staind,3 Doors Down,Alter Bridge
Creedence Clearwater Revival,3631832,101694667,Lynyrd Skynyrd,Steppenwolf,John Fogerty
Creep Hyp,35703,471743,back number,indigo la End,Hitsujibungaku
Creepy Nuts,414723,12734154,Tatsuya Kitani,Ado,Kocchi no Kento
Cri-Cri,18961,303313,Los Hermanos Rincon,Cri Cri,Rubén Albarrán
Crianças Diante do Trono,14932,215580,Diante do Trono,Ana Nóbrega,Fernandinho
Crickets - Tinnitus Sleep Solution,2461,114865,Gwen Kate,Field Animals,Crickets Tinnitus Relaxation
Crimson Memoirs,94088,389881,Cole Neumann,Noemi Lucas,Leisel Walker
Criolo,264727,14523482,Black Alien,Marcelo D2,Emicida
Cripple Bastards,31871,1134417,7 Minutes of Nausea,Meat Shits,Violent Headache
Crishna,93,1426,Sathyaprakash,Santhosh Dhayanidhi,Prithviraj Sukumaran
Crispy脆樂團,13197,144106,守夜人,SoulFa 靈魂沙發,陳嫺靜
Criss & Ronny,5076,49939,Zaider,Luister La Voz,Koffee El Kafetero
Cristian,243854,3421979,Ricardo Montaner,Chayanne,Alex Ubago
Cristian Castro,243854,3421979,Ricardo Montaner,Chayanne,Alex Ubago
Cristina Mel,17049,196243,Aline Barros,Cassiane,Fernanda Brum
Cristina Máximo,6038,39330,Padre Agnaldo José,"Pe. Joãozinho, scj",Padre Zeca
Cristo Vivo,5144,38219,Gabi Sampaio,Voz de Muitas Águas,Livres Para Adorar
Cristoph,120823,968808,Cirez D,Pryda,CamelPhat
Critical Mass,45799,311394,Party Animals,4 Tune Fairytales,Bodylotion
Crocodylus,11458,122180,Good Doogs,RAT!Hammock,West Thebarton
Crooked Still,159101,2030683,Aoife O'Donovan,I'm With Her,Sarah Jarosz
"Crosby, Stills & Nash",982562,12313838,"Crosby, Stills, Nash & Young",Stephen Stills,David Crosby
"Crosby, Stills, Nash & Young",1208957,16558782,"Crosby, Stills & Nash",Stephen Stills,Neil Young
Crossfade,1067454,15498632,Trapt,10 Years,Staind
Crowd Lu,51753,770825,LaLa Hsu,Sodagreen,Weibird
Crown The Empire,306706,11386770,We Came as Romans,Palisades,Of Mice & Men
Crows in the Rain,6859,144861,Silent Whale Becomes a Dream,the abyss inside us,April Rain
Cruachan,131863,3247891,Waylander,Heidevolk,Månegarm
Cruel Force,16152,473710,Nocturnal,Deathhammer,Gehennah
Crumb,1091039,29199230,Men I Trust,Melody's Echo Chamber,LOVING
Crush,513928,21116074,Zion.T,Hoody,Dean
Cryex,13300,306226,Scarra,So Juice,Unresolved
