artist,total_tracks,spotify_popularity,danceability,energy,speechiness,instrumentalness,pct_explicit_tracks,duration_min,feature_pct,spotify_track_genre,nominations,year_with_most_nominations,most_common_category,most_common_award_class,lastfm_listeners,lastfm_playcount,similar_1,similar_2,similar_3
marko maunuksela,3,19.666666666666668,Medium,Medium,Low,Vocal,0.0,3.6366666666666663,0.0,tango,0,,,,1660.0,10962.0,Teemu Roivainen,Juhamatti,Juha Metsäperä
markoolio,2,35.0,Medium,High,Low,Vocal,0.0,3.555,0.0,swedish,0,,,,73149.0,980655.0,Timbuktu,Magnus Uggla,Tomas Ledin
marksman,1,58.0,High,Medium,Moderate,Vocal,0.0,2.32,0.0,dancehall,0,,,,17433.0,201854.0,Hitman,Intence,Najeeriii
markus becker,12,16.0,Medium,High,Low,Vocal,0.0,3.214166666666667,58.333333333333336,disco,0,,,,56160.0,313320.0,Tim Toupet,Lorenz Büffel,Tobee
markus krunegård,5,13.6,Medium,Medium,Low,Vocal,0.0,3.97,40.0,swedish,0,,,,122978.0,5630537.0,Håkan Hellström,Säkert!,Jonathan Johansson
markus schulz,1,38.0,Medium,High,Low,Vocal,0.0,4.66,100.0,progressive-house,0,,,,361699.0,5008269.0,Andrew Rayel,Ferry Corsten,Alex M.O.R.P.H.
marlon,1,65.0,High,Medium,Low,Vocal,0.0,2.9,0.0,spanish,0,,,,30558.0,440022.0,Fran Perea,Flynn Bridgewater,Mellow Strings
marmalade,1,57.0,Low,Low,Low,Vocal,0.0,4.28,0.0,rock-n-roll,0,,,,132695.0,762646.0,Gary Puckett & The Union Gap,Love Affair,The Tremeloes
marmi,1,61.0,Medium,High,Low,Vocal,0.0,2.99,100.0,spanish,0,,,,19088.0,416031.0,FreSQUITO,Pole.,Enol
16bl,2,46.0,Medium,Medium,Low,Mixed,0.0,6.45,0.0,trance,0,,,,42230.0,475989.0,Luttrell,Aiiso,Yotto
maroon town,1,26.0,High,Medium,Low,Mixed,0.0,3.5,0.0,dub,0,,,,10194.0,59423.0,King Hammond,International Beat,Big 5
marquez the greatest,1,23.0,Medium,Medium,High,Vocal,100.0,1.44,0.0,comedy,0,,,,3144.0,15148.0,Al Toomer,D' Militante,Evan Lionel
marquinho art'samba,1,39.0,Medium,High,Low,Vocal,0.0,4.52,100.0,samba,0,,,,12037.0,109232.0,Estação Primeira De Mangueira,Emerson Dias,Ciganerey
marquinho sathan,1,37.0,Medium,High,Low,Vocal,0.0,3.97,0.0,samba,0,,,,5084.0,32063.0,So Preto Sem Preconceito,Galocantô,Arlindo Cruz & Sombrinha
marquinhos gomes,5,44.2,Low,High,Low,Vocal,0.0,4.85,0.0,brazil,0,,,,21851.0,172977.0,Midian Lima,Anderson Freire,Gabriela Gomes
marry,9,12.0,Medium,High,Low,Vocal,0.0,3.1666666666666665,55.55555555555556,party,0,,,,6900.0,39958.0,Ina Colada,DJ Düse,Killermichel
marsa sakamoto,1,30.0,Low,Low,Low,Vocal,0.0,1.63,100.0,disney,0,,,,353.0,3932.0,20th Century,Coming Century,坂本昌行
marsh,1,37.0,Medium,High,Low,Instrumental,0.0,3.61,0.0,progressive-house,0,,,,89894.0,1327263.0,,,
marsha ambrosius,2,35.5,Low,Low,Low,Vocal,0.0,4.505,50.0,british,0,,,,140226.0,1097847.0,Eric Roberson,Ledisi,Raheem DeVaughn
marshall crenshaw,2,30.5,Medium,High,Low,Vocal,0.0,3.105,0.0,j-rock,0,,,,85729.0,896725.0,Nick Lowe,Shoes,Rockpile
marshall jefferson,21,16.857142857142858,High,High,Low,Vocal,0.0,5.873333333333333,85.71428571428571,chicago-house,0,,,,176910.0,755301.0,Joe Smooth,Robert Owens,Jamie Principle
marshall masters,4,29.0,Medium,High,Low,Vocal,0.0,2.5375,75.0,happy,0,,,,26133.0,143418.0,Virtual Zone,Groovezone,Dance 2 Trance
marshmello,74,49.310810810810814,Medium,High,Low,Vocal,20.27027027027027,3.094054054054054,79.72972972972973,progressive-house,0,,,,2157429.0,55969150.0,Martin Garrix,The Chainsmokers,Alan Walker
marsimoto,1,38.0,Medium,Low,Low,Instrumental,0.0,0.51,0.0,german,0,,,,93255.0,3458441.0,Marteria,Dynamite Deluxe,Trettmann
mart'nália,4,38.0,Medium,Medium,Low,Vocal,0.0,3.85,25.0,samba,0,,,,234078.0,2809698.0,Martinho Da Vila,Casuarina,Arlindo Cruz
marta jobim,1,50.0,Medium,Low,Low,Instrumental,0.0,3.05,0.0,guitar,0,,,,10594.0,31670.0,Alex Van Hill,Ogden Rhone,Francisca Fortinbras
marta sánchez,2,13.0,Medium,High,Low,Vocal,0.0,4.885,0.0,spanish,0,,,,81691.0,714657.0,Paulina Rubio,Mónica Naranjo,Thalía
marteria,1,39.0,Medium,Medium,Low,Vocal,0.0,3.5,0.0,german,0,,,,246154.0,7675909.0,Casper,Peter Fox,Sido
martha reeves & the vandellas,3,22.666666666666668,Medium,High,Low,Vocal,0.0,2.72,0.0,disco,0,,,,772611.0,5664622.0,The Marvelettes,The Four Tops,Mary Wells
marthyan,7,29.142857142857142,High,Medium,Low,Vocal,14.285714285714285,2.91,71.42857142857143,malay,0,,,,1817.0,12703.0,Vipin Raveendran,Hrithik Jayakish,Sreenath Bhasi
marti west,1,50.0,Medium,Low,Low,Instrumental,0.0,3.77,0.0,goth,0,,,,21910.0,102606.0,Ed Patrick,Jordan Hart,Tyler Brown Williams
martin garrix,81,54.76543209876543,Medium,High,Low,Vocal,8.641975308641975,3.51,87.65432098765432,progressive-house,0,,,,1806670.0,42356738.0,Alesso,DubVision,R3hab
martin ikin,2,54.5,High,High,Low,Instrumental,0.0,3.095,50.0,deep-house,0,,,,108986.0,713539.0,Biscits,Cloonee,Fisher
martin jensen,9,60.66666666666666,High,High,Low,Vocal,11.11111111111111,2.957777777777778,77.77777777777779,electronic,0,,,,453725.0,4752609.0,Sam Feldt,Mike Perry,Jonas Blue
martin landström,1,63.0,Medium,Low,Low,Vocal,0.0,4.38,0.0,jazz,0,,,,131312.0,667690.0,Magpie Jazz Trio,Most Iverson,Hara Noda
