artist_name,listeners,playcount,similar
50landing,45057,1291794,brakence;heylog;Zac Greer
53 Thieves,95709,954893,Alina Baraz & Galimatias;Skinshape;MedaSin
6 Dogs,263707,7889596,
6091,3154,35507,Sreenath Bhasi;Sankar Sharma;K. S. Harisankar
6EJOU,24625,241988,Raxeller;Gostwork;Toxic Machinery
6ix9ine,951361,25236404,Lil Pump;Smokepurpp;Blueface
6o,41601,1028405,TheHxliday;Tom the Mail Man;7ru7h
6t6,636,1478,Fyy Vo;Germs Gad;BOY BOY
7 Minutoz,83805,5234586,MHRAP;vmz;Rodrigo Zin
7!!,133128,1989531,いきものがかり;NICO Touches the Walls;fripSide
7Horse,57706,390529,Band of Skulls;Larkin Poe;The Shouting Matches
7evin7ins,52368,504965,Chri$tian Gate$;ChrispyD;jxdn
7ru7h,49445,981311,Josh A;Promoting Sounds;KillBunk
8 Graves,94800,1819896,Unlike Pluto;Adam Jensen;Layto
8 Kalacas,6065,91714,South Central Skankers;JUST LIKE BEFORE;D-Skarados
80purppp,396196,6089624,Khalil?;ilyTOMMY;SadBoyProlific
831,26892,406374,3L;AccuseFive;まさみティー
88GLAM,224697,4945272,NAV;NAV & Metro Boomin;Rich the Kid
89ine,11186,47376,XANSEII.;9smkr;Chvnge Up
8Kays,23979,121377,Korolova;Cristoph;miss monique
8percent,107639,1419920,yung kage;22december;Shady Moon
8th Sin,12409,66525,New Project;4i20;Two Birds
9 Lazy 9,353510,3697774,Funki Porcini;TM Juke;DJ Food
91 All Stars,10466,129744,Worms-T;Titai;Legendes Industries
916frosty,77745,2103610,CONVOLK;guccihighwaters;sadeyes
92914,111841,1644579,slchld;Jeff Bernat;ADOY
9mm Parabellum Bullet,167947,6753910,THE BACK HORN;cinema staff;凛として時雨
9smkr,31578,279260,ProdBySunny;Axleh;Zrobb
:Wumpscut:,224101,11817724,Suicide Commando;Leæther Strip;Velvet Acid Christ
=LOVE,12177,724963,≠ME;STU48;AKB48
? & The Mysterians,137710,844795,The Count Five;The Chocolate Watch Band;The Shadows of Knight
A Banda Mais Bonita da Cidade,160898,3661218,Phill Veras;Leo Fressato;Banda do Mar
A Dama,20751,102781,Oh Polêmico;O Kannalha;O Poeta
A Day To Remember,1723891,122774491,Beartooth;Silverstein;We Came as Romans
A Família,11624,88751,Realidade Cruel;Facção Central;Expressão Ativa
A Feast for Kings,6629,76295,Forgetting the Memories;Darkness Divided;Mouth of the South
A Fine Frenzy,787560,17665169,Ingrid Michaelson;Anna Nalick;Erin McCarley
A Flock Of Seagulls,1084386,10693958,The Human League;The Fixx;Thompson Twins
A Forest Mighty Black,195249,2134688,Soma Sonic;The Mighty Bop;Marsmobil
A Great Big World,781285,7882368,BANNERS;American Authors;Christina Perri
A Life Once Lost,64143,1205540,Coalesce;Blood Has Been Shed;Martyr AD
A Mose,1499,11188,Limoblaze;Elikem Kofi;Oba Reengy
A Niu,1687,11460,Wakin Chau;Sky Wu;MY Astro
A Number Of Names,31399,109180,Savas Pascalidis;Mateo Murphy;System 01
A R I Z O N A,358664,5801182,Frenship;ayokay;Midnight Kids
A Rocket To The Moon,392302,9323190,The Click Five;Faber Drive;We the Kings
A Si,26097,295798,OHMYMEITING;棉子;Zhang Zhen Yue
A Skylit Drive,456516,13693560,Alesana;Blessthefall;For All Those Sleeping
A Tribe Called Quest,2186785,90277965,De La Soul;The Pharcyde;Q-Tip
A Vida Music,354,919,Canções Para Curar;Lorhann;Rivers Prayer & Soaking
A Wilhelm Scream,180564,9032297,Strung Out;No Trigger;Belvedere
A Winged Victory for the Sullen,302547,6146415,Nils Frahm;Eluvium;Ben Lukas Boysen
A$AP Rocky,2889722,262560477,A$AP Mob;Travi$ Scott;Joey Bada$$
A*S*Y*S,67646,481708,Lemane;Trym;RLGN
A-Lin,40750,1252722,田馥甄;張惠妹;徐佳瑩
A-Lusion,45084,397588,Scope DJ;Davide Sonar;Dutch Master
A-Mei Chang,46808,1536189,田馥甄;莫文蔚;蔡健雅
A-do,6022,57293,Phil Chang;Zhang Zhen Yue;Joi Chua
A. G. Cook,372056,12683369,easyFun;Thy Slaughter;Danny L Harle
A. Kanyakumari,2244,10012,Rajhesh Vaidhya;T. M. Krishna;M. S. Subbulakshmi
A.B.I,106,540,Nomadic Voice;Kalla Sha;MC Couper
A.CHAL,131182,1699421,Majid Jordan;Always Never;Black Atlass
A.M.C,47735,437873,Sota;Mefjus;Teddy Killerz
A.M.R,42009,311815,Shingo Nakamura;Vintage & Morelli;rshand
A.N.I.M.A.L.,25127,568079,Carajo;Hermética;Almafuerte
A.R. Rahman,647819,14625080,Shankar-Ehsaan-Loy;Pritam;Vishal-Shekhar
A.Skillz,23305,156280,Featurecast;A.Skillz & Krafty Kuts;BadboE
A1 x J1,164344,2593970,SwitchOTR;JBEE;ArrDee
AA Apres-Ski!,5081,23819,dj apres ski;Coolonia;Dj Mape
ABBA,3623545,140499978,Agnetha Fältskog;Frida;Boney M.
ABC,579623,5613620,Howard Jones;Thompson Twins;Heaven 17
ABC Kids,30691,297496,The Beanies;Play School;Jay Laga'aia
AC Slater,190767,1569704,Habstrakt;Valentino Khan;Curbi
AC/DC,4128871,192614318,Airbourne;Ozzy Osbourne;Motörhead
ACE COLLECTION,13609,164778,ROOKiEZ is PUNK'D;Mrs. GREEN APPLE;STEREO DIVE FOUNDATION
ACN Music.,68831,1115628,平沢進;パール兄弟;物語シリーズ
ACxDC,45073,1573547,Magrudergrind;Sex Prisoner;Coke Bust
ADK Srirascol,291,2321,
ADL,71127,1038210,Djonga;PrimeiraMente;Froid
AFI,1752776,75397098,Alkaline Trio;Strung Out;Bad Religion
AFK,35303,262041,MUST DIE!;Spag Heddy;Excision
AFKAP,7419,146322,Frappe Ash;Dhruv Sthetick;Muhfaad
AGA,19628,566195,謝安琪;MC 張天賦;吳雨霏
AGLORY,15599,99325,Neo Fresco;Tzafu;Assalm
AHOSHI,6848,11782,
AHYRE,2607,32839,
AI,71903,1055776,MISIA;絢香;DREAMS COME TRUE
AILEE,84737,3493953,DAVICHI;Gummy;SOYOU
AIRMANN,7968,39417,GRoost;Lega:c;Sleen Mp
AIROD,55972,422668,Farrago;Amelie Lens;Alignment
AJ Ghent [ j-ent ],8879,33496,Hannah Wicklund & The Steppin Stones;Cut Glass Kings;Oddnote
AJ Mitchell,280914,3564724,HRVY;Why Don't We;Ruel
AJJ,386032,22419263,
AJR,1037289,44434208,The Astronomers;BoyWithUke;American Authors
AK-69,14007,291617,¥ellow Bucks;MC TYSON;DJ RYOW
AKA AKA,71142,492745,Niconé;Rodriguez Jr.;Tinush
AKB48,154861,19236245,SKE48;NMB48;HKT48
AKKI (DE),41309,280745,
AL-90,140825,2486371,Cult Member;SOFT BLADE;Baltra
ALEX,220777,2954639,Tokyo Rose;ALEX & Tokyo Rose;Power Glove
ALEXANDRE APOSAN,3942,25333,Elizeu Alves;Ludi;Bruna Olly
ALI,415436,7150239,Eve;HOME MADE 家族;Shin Sakiura
ALMAR,23049,132160,Sajanka;Solarstone;JOÃO MAR
ALPHA 9,95336,1105490,Arty;Oliver Smith;Sunny Lax
AMAN,7534,83055,Piyush Bhisekar;Abhijay Sharma;Nilotpal Bora
AMARIA BB,56296,531367,
AMK,19047,367034,Dadi;Yorssy;La Mano 1.9
AMONGST THE ASHES,613,3087,Dimman;Thy Kingdom Will Burn;Swansong
ANAVITÓRIA,421998,40671967,
ANDY SVGE,15145,160911,Hard Driver;Devin Wild;Sound Rush
ANNA,230588,4227754,Elodie;Stephan Bodzin;Adam Beyer
ANUQRAM,16435,135668,Avenue One;My Friend;Darren Tate
AO Cubo,19956,215922,Pregador Luo;Expressão Ativa;Realidade Cruel
AP Dhillon,100258,6122306,Shubh;Diljit Dosanjh;Karan Aujla
APOLLYON.,5637,27499,XANSEII.;Elijah Gonzales;Anna Fonsaus
ARIETE,993,13698,PSICOLOGI;GAZZELLE;Coez
ARMNHMR,74845,1733701,Nurko;Crystal Skies;yetep
ARTBAT,133827,1326825,Kevin De Vries;Agents Of Time;Adriatique
ARTY,399882,4850390,Alpha 9;Super8 & Tab;Audien
ASCA,69061,1455247,
ASIAN KUNG-FU GENERATION,578772,32030907,サンボマスター;KANA-BOON;The Pillows
ASMR HD,10090,721837,ASMR;HeatheredEffect ASMR;Pelagea ASMR
ASTN,277598,4021365,
ATB,1228720,31245574,Paul van Dyk;Dash Berlin;Fragma
ATEEZ,604627,149064635,Jong Ho;xikers;P1Harmony
ATFC,138212,645123,Cavi;KRYPTOGRAM;Phil Fuldner
ATLiens,61381,815227,Subtronics;SVDDEN DEATH;Peekaboo
ATR,252650,5200532,Alec Empire;Ec8or;Lolita Storm
ATTLAS,143450,1166432,Eekkoo;BlackGummy;No Mana
AURORA,1511105,69774141,Caroline Polachek;Sigrid;Marina
AVIRA,34751,221080,Mees Salomé;Kasablanca;Anyma
AVIWKILA,11784,73970,OMJamie;Harryan Yoonsoan;Bernadya
AVOID,48818,901417,Windwaker;Alpha Wolf;Silent Planet
AYLIVA,75910,4567224,Shirin David;Hava;Nina Chuba
Aadesh Goud,1597,7058,Shirene Sanjay;Slowed and Reverbed Hindi;Samit Kapoor
