artist_name,listeners,playcount,similar
Capitan Folk,2862,16454,
Capleton,357402,3085731,Sizzla;Buju Banton;Bounty Killer
Captain & Tennille,269505,1394790,Leo Sayer;Andy Gibb;England Dan & John Ford Coley
Captain Hollywood Project,157377,985317,Culture Beat;Ice MC;Cappella
Captain Hook,41612,312393,Astrix;Ace Ventura;Freedom Fighters
Captain Jack,254385,2212462,Pharao;E-Rotic;Fun Factory
Captaine Roshi,17918,1111273,S-Tee;Rad Cartier;Duke Mobb
Captaine Révolte,2194,40443,Vulgaires Machins;eXterio;Groovy Aardvark
"Car, the garden",111517,1571582,JANNABI;데이먼스 이어 Damons year;Nerd Connection
Carach Angren,86306,4228462,Dimmu Borgir;Dark Fortress;Old Man's Child
Carajo,25469,1134392,A.N.I.M.A.L.;Eruca Sativa;Árbol
Caravan Palace,757218,24409807,Swingrowers;Jamie Berry;The Electric Swing Circus
Carbin,18597,128965,Krimer;Bainbridge;Graphyt
Carbon,63821,889307,Untiljapan;yvngxchris;Lijay
Carbon Based Lifeforms,416367,19996329,Cell;Sync24;H.U.V.A. Network
Carbonas,16375,303029,Bad Sports;GG King;The Hex Dispensers
Carbozo,8520,112115,Hös Copperfield;Fresh La Douille;91 All Stars
Carcass,512814,22488144,Entombed;Napalm Death;Morbid Angel
Cardi B,1967464,58793986,Megan Thee Stallion;Latto;GloRilla
Cari Lekebusch,39479,269694,The Advent;James Ruskin;Cristian Vogel
Caribou Mountain Collective,1058,9610,Trout Steak Revival;Fireside Collective;The Lil Smokies
Carin Filipcic,990,6809,Jesper Tydén;Wietske van Tongeren;Norberto Bertassi
Carina Crone,1714,6828,Kings of Günter;Isi Glück;Marie Käfer
Carl & Pearl Butler,1656,7564,Ernest Ashworth;Jim Ed Brown & Helen Cornelius;Freddy Weller
Carl Barron,745,4227,Dave Hughes;Rodney Rude;Jimeoin
Carl Butler,10633,35086,The Harden Trio;Patsy Montana & The Prairie Ramblers;Chet Atkins and Jerry Reed
Carl Craig,198654,1488593,Paperclip People;Juan Atkins;Model 500
Carl Douglas,548188,2400304,"The Trammps;KC and The Sunshine Band;Lipps, Inc."
Carl Marshall,1891,8427,Luther Lackey;Vick Allen;Nathaniel Kimble
Carl Millöcker,1713,7531,Paul Abraham;Emmerich Kálmán;Carl Zeller
Carl Perkins,428182,2791429,Eddie Cochran;Gene Vincent;Jerry Lee Lewis
Carl Smith,54975,296002,Faron Young;Stonewall Jackson;David Houston
Carla Simmons,27807,100287,Karen Elf;Daavid Laaksonen;Ronald Emery
Carligo,39240,253466,Invisible Motion;Jack Rosslyn;Tairata
Carlinhos Brown,128191,857589,Timbalada;Daniela Mercury;Curumin
Carlitos Junior,4629,35371,Blackroy;Balbi El Chamako;Drago200
Carlo Boscoli,17132,58615,Milo Liana;Max Arnolds;Derick Carson
Carlo Boszhard,5162,51644,Noortje Herlaar;Benja Bruijning;Chelsea Hegener
Carlo Pallavicino,677,3470,Giovanni Cesare Netti;Johann Caspar von Kerll;Claudio Saracini
Carlo Supo,2553,13325,n'samble;Bembe Orquesta;Josimar y su Yambú
Carlos Baute,235825,2014562,David Bisbal;Juanes;Fonseca
Carlos Cipa,143743,882701,Matteo Myderwyk;RIOPY;Jacob Mühlrad
Carlos Di Fulvio,1908,12464,Hernan Figueroa Reyes;Sixto Palavecino;Horacio Guarany
Carlos Di Sarli,24672,399103,Francisco Canaro;Rodolfo Biagi;Miguel Caló
Carlos Di Sarli y su Orquesta Típica,4598,53836,Juan D'Arienzo y su Orquesta Típica;Orquesta Tipica Victor;Carlos Di Sarli
Carlos Gardel,225473,2421663,Roberto Goyeneche;Julio Sosa;Juan D'Arienzo
Carlos Lico,4781,26501,Manoella Torres;Carmela Y Rafael;Pepe Jara
Carlos Lombardi,1316,5195,Los Muchachos de Antes;Ernesto Famá;Orquesta Tipica Buenos Aires
Carlos Lyra,135812,715125,Sylvia Telles;Wanda De Sah;Pery Ribeiro
Carlos Marin,946,5995,Sébastien Izambard;Jörgen Elofsson;Josef Larossi
Carlos Moscardini,3028,26597,Juan Falú;Quique Sinesi;Roberto Calvo
Carlos Paredes,48023,642949,"José Afonso;Dead Combo;Carlos Paredes, Fernando Alvim"
Carlos Roldán,646,2082,Alberto Marino;Floreal Ruiz;Alberto Arenas
Carlos Sadness,92732,2128931,Love of Lesbian;Caloncho;Izal
Carluccio,87606,465392,
Carly Lyman,2924,10157,Tristan Deniet;Hannah's Yard;Phil Halo
Carly Pearce,120286,2136085,Maddie & Tae;Kelsea Ballerini;Lainey Wilson
Carly Rae Jepsen,2550144,129609189,Foxes;Charli xcx;Jessie Ware
Carmela Y Rafael,1952,9874,Carlos Lico;Virginia Lopez;Angelica Maria
Carmen Campagne,3277,36272,Mannick;Julie Masse;Marie-Élaine Thibert
Carmen Cusack,8023,76482,A.J. Shively;Jeanna de Waal;Molly Ranson
Carmen Twillie,243046,999816,Nathan Lane;Verna Felton;Jason Weaver
Carnage,466808,4612911,Dismember;Gorement;Grave
Carnifex,290214,11282480,Thy Art Is Murder;Signs of the Swarm;Chelsea Grin
Carnivore,92446,2186382,S.O.D.;D.R.I.;Whiplash
Carola,190033,2695343,Lena Philipsson;Charlotte Perrelli;Arvingarna
Carolee Carmello,17971,122031,Adam Riegler;Krysta Rodriguez;Bebe Neuwirth
Carolina & Her Rhythm Rockets,1006,9177,Pat Capocci;marcel bontempi;Ruby Ann
Carolina Chocolate Drops,158570,1514280,Rhiannon Giddens;Old Crow Medicine Show;The SteelDrivers
Carolina Winograd,592,1340,Juan Ramos;Mariana Mazú;Jorge Amiconi
Caroline Dare,18291,146535,Sam DeRosa;Eva Westphal;Aimee Vant
Caroline Rhea,1522,7751,Becky Donohue;Erikka Innes;Andi Smith
Caroline's Spine,27217,270044,Athenaeum;Burden Brothers;Doubledrive
Carpathian Forest,216681,7447936,Nattefrost;Urgehal;Gorgoroth
Carrie Hope Fletcher,85550,1432798,Jamie Muscato;Taylor Louderman;Grey Henson
Carrie Nation and the Speakeasy,3193,35870,Filthy Still;Blackgrass Gospel;The Dirt Daubers
Carrie Underwood,1620359,31706609,Miranda Lambert;Carly Pearce;Maddie & Tae
Carryminati,1611,9739,
Carsten Svendsen,240,1214,Lucas Lomholt Eriksen;Pelle Emil Hebsgaard;Kenneth M. Christensen
Carta,46573,321982,NWYR;Quintino;AXMO
Carta de Baralho,4633,17624,Capital Do Sol;Gatinha Manhosa;Furacão do Forró
Cartel Mcs,52060,1117046,ConeCrewDiretoria;Oriente;Dalsin
Carter Powers,5905,98876,JonesJrr;Jesse Aicher;hiraeth.
Cartoon,416178,5583790,Andromedik;Raise Spirit;Unknown Brain
Caru,11582,51058,Harpoon;Benjamin Darren;HBSN
Carufo,83838,470951,Zion Llama;Secret Medicine;Moments of Clarity
Cary Brothers,614989,5507786,Joshua Radin;Greg Laswell;Howie Day
Casa De Leones,89533,646631,Yaga & Mackie;Wisin & Yandel;Tony Dize
Casa Worship,49654,672207,Gabriela Rocha;Morada;Isaias Saad
Casanovas schwule Seite,6389,207709,Chefdenker;Supernichts;Blinker Links
Cascada,1875898,31026719,Groove Coverage;Manian;Italobrothers
Cascada de Lluvia,2996,13294,Musica para Acostarse;Sonidos De Aves;sonidos de agua
Casey Donahew,24333,365629,Josh Abbott Band;Kolby Cooper;Randy Rogers Band
Cash Cash,772678,10037987,The Chainsmokers;NOTD;Midnight Kids
Cash Flow,17333,567854,Reckol;STAP;Abugat
Cash Savage and the Last Drinks,8430,91527,RVG;Body Type;Eddy Current Suppression Ring
Casino Versus Japan,358496,6175630,Freescha;Boards of Canada;Arovane
Caskets,222600,6430121,Awaken I Am;Nerv;Until i Wake
Caspar Babypants,31940,1391798,Elizabeth Mitchell;Laurie Berkner;Sesame Street
Caspar Camitz,1893,14988,Soldåd;Julia Lov;Moonica Mac
Casper,223881,14980193,Marteria;Kummer;Prinz Pi
Casper & Col'ta,223881,14980193,Marteria;Kummer;Prinz Pi
Casper Esmann,21192,118046,Guus Dielissen;CallumMcGaw;Lance Allen
Casper Loe,6577,12432,Loyla Lo;SeeLegs;Ayling Lighthouse
Cass Phang,14988,287065,林憶蓮;陳慧嫻;關淑怡
Cassandra Nestico,56827,267198,Valentina Romano;Moleno;Silje Mørk
Cassettes,9262,66748,Deadly Nightshade Botanical Society;Unextraordinary Gentlemen;Deathwatch Beetle Repairman
Casseurs Flowters,51183,1912216,Orelsan;Gringe;Vald
Cassian,79972,504839,Grum;Lifelike;Swimming Paul
Cassiane,39573,924622,Lauriete;Rose Nascimento;Eyshila
Cassiane e Jairinho,3254,28315,Elaine de Jesus;Rayssa e Ravel;Jozyanne
Cast - Cenerentola,143,265,Gianna Spagnulo;Maria Cristina Brancucci;Coro - La Sirenetta
Cast - Frozen,78931,589618,"Christophe Beck;Josh Gad;Kristen Bell, Agatha Lee Monn & Katie Lopez"
Cast - Sofia the First,73990,813781,The Never Land Pirate Band;Mickey Mouse;Mitchell Hope
Cast - Vampirina,8191,107989,"Fancy Nancy - Cast;""Puppy Dog Pals"" Cast;T.O.T.S. - Cast"
Cast of Sleeping Beauty,5388,20614,Leigh Harline;Frank Churchill;Ed Plumb
Castello Branco,108729,2306154,Versos que Compomos na Estrada;Phill Veras;Cícero
Caster,21606,248463,Au5;Hayve;Dirtyphonics
Casting Crowns,325508,6996522,MercyMe;Chris Tomlin;Jeremy Camp
Casuarina,175457,2125431,Arlindo Cruz;Adoniran Barbosa;Mart'nália
Cat Dealers,148980,1512471,dubdogz;Vintage Culture;Bruno Martini
Catch 22,364769,7771314,Streetlight Manifesto;Mustard Plug;Big D And The Kids Table
Catch Side,29625,566677,Diwali;Replace;Under Line
Catching Flies,298598,3423960,Parra for Cuva;il:lo;Henry Green
Catedral,38234,838049,Oficina G3;Nenhum de Nós;Engenheiros Do Hawaii
Cathedral Bells,257089,2222730,Beach Vacation;Cool Heat;.com
Catherine Feeny,210751,1838787,Lyla Foy;Jenny Owen Youngs;Jaymay
Catherine Marie Charlton,3146,67336,Laurie Z;Jennifer DeFrayne;Rebecca Kragnes
Catherine Zeta-Jones,215373,1607943,Richard Gere;Renée Zellweger;Christine Baranski
Cathy Boyd,539,3066,Liz Stewart;Jeremiah Watkins;Matt Pavich
Catie Turner,255304,3400278,Lauren Spencer Smith;Olivia O'Brien;Dylan Conrique
Catnapp,47430,446513,Asenssia;SP4K;Lolawolf
Catscan,27647,216484,D-Passion;Hard Creation;Meccano Twins
Cattle Decapitation,195227,10967472,Dying Fetus;Archspire;Aborted
Catuaba Com Amendoim,11708,45880,Capital Do Sol;Mel com Terra;Calango Aceso
Catupecu Machu,90768,1668783,La Renga;Los Piojos;Las Pelotas
Catz 'n Dogz,111405,845297,Tantsui;Maya Jane Coles;Ted Jasper
Cauty,44538,340548,Omy de Oro;Pusho;Jossef
Cavaleiros do Forró,52500,542729,Limão Com Mel;Calcinha Preta;Banda Magníficos
Cavalera Conspiracy,196694,6147807,Soulfly;Sepultura;Go Ahead And Die
Cavalo De Pau,38590,446438,Banda Magníficos;Mastruz Com Leite;Limão Com Mel
Cavetown,1329412,67176363,Chloe Moriondo;Addison Grace;Ricky Montgomery
Caviar Com Rapadura,19201,101589,Forró Anjo Azul;Mastruz Com Leite;Brasas do Forró
Cayouche,2965,60605,1755;Hert Leblanc;Lendemain de Veille
Cazuza,563202,18083331,Barão Vermelho;Cássia Eller;Cazuza & Bebel Gilberto
Caê,7508,54320,Saci Wèrè;Pietá;Posada
Ce'Cile,27489,151203,Cecile;Macka Diamond;Ward 21
Cecilia Krull,105699,815935,Manu Pilas;Kadebostany;Jasmine Thompson
CedMusic,4744,123782,Zate;Slyser;Lgm
Cedarmont Kids,43786,658067,Hillsong Kids;Donut Man;Craig Smith
Cedric Armfeldt,50601,141801,Haakon Stange;Jenny Lange;Hugo Reilly
Ceephax Acid Crew,87827,1340112,Ceephax;Squarepusher;Luke Vibert
Ceeys,39935,195768,Sebastian Plano;Niklas Paschburg;Joep Beving
Cefa,12147,475302,Menores Atos;Gloria;Aurora Rules
Ceg,17550,1337871,Keişan;Metth;Bixi Blake
Cegıd,5480,158351,ceg;Ravenn;Beta Berk Bayindir
Celeste,687285,9914339,Hexis;Downfall of Gaia;Amenra
Celestial Alignment,188072,1327204,TyLuv.;HEVI;Jhove
Celestial Conscience,12291,85799,Liad Abraham;Edy Hafler;Agustín Amigó
Celia Cruz,487330,3886364,Johnny Pacheco;El Gran Combo;El Gran Combo De Puerto Rico
Celina,15692,96512,Light4storm;DESTRYUR;CONNÖR
Celldweller,635745,29523358,Circle of Dust;Blue Stahli;I Will Never Be The Same
Celso Blues Boy,11145,208986,Blues Etílicos;Bêbados Habilidosos;André Christovam
Cemiyette Pişiyorum,16392,854914,Kilink;Asperger;Hedonistic Noise
Cende,51966,403718,
Cengiz Kurtoğlu,22520,460313,Güllü;Ümit Besen;Bergen
Centhron,47583,1802998,X-Rx;Alien Vampires;Nachtmahr
Centimillimental,92528,1735678,ギヴン;ラックライフ;BURNOUT SYNDROMES
Centinex,26741,541964,Demonical;Ablaze My Sorrow;Entrails
Central 3,14669,241990,Theo Rubia;Morada;DUNAMIS MUSIC
Cepeda,14541,430431,Mireya Bravo;MarMi;Aitana Ocaña
Cephalic Carnage,99012,2952828,Origin;Misery Index;Maruta
Cepia,62676,510969,Ben Benjamin;JDSY;Aeroc
Ceres,29226,579151,Slowly Slowly;Sinai Vessel;Foxing
Ceriumidis,13078,57625,Jo Rochford;Hanni Licht;Valencia Torres
Cerwen,6655,15195,downstreamdream;Fableistic;Cr0sses
Cesar Costa,10811,57440,Manolo Muñoz;Los Rebeldes Del Rock;Los Hitters
Cesar Vega,1387,8279,César Vega & Orq.;Rumbavana;César Vega
Cesare Cremonini,98949,2137035,Lùnapop;Pinguini Tattici Nucleari;883
Cestar,3189,25871,Stailok;SuppaStyle;Shamanes
Cesária Evora,335261,5127542,Lura;Nancy Vieira;Ibrahim Ferrer
Ceylan Ertem,26587,675107,Melis Danişmend;Birsen Tezer;Jehan Barbur
Ceza,91843,2354645,Sagopa Kajmer;Sansar Salvo;norm ender
Cezar & Paulinho,18932,116296,Duduca & Dalvan;Liu & Léu;Mayck & Lyan
Cha Cha Slide DJ's,2439,7000,Cha Cha Slide Party;Mr. C The Slide Man;Cupid Shuffle DJ's
Chad Daniels,11560,237323,Matt Braunger;Dan Cummins;Tom Papa
Chad Hates George,11005,165009,Escape from the ZOO;Days N' Daze;We The Heathens
Chad Kroeger,343360,2102482,Nickelback;The Calling;3 Doors Down
Chad Lawson,296650,2251477,Sophie Hutchings;Stephan Moccio;Moux
Chain Reaction,53504,367419,Crypsis;The Pitcher;Wildstylez
Chain Whip,10319,162550,Bootlicker;Béton Armé;Rat Cage
Chairlift,808869,14963129,Ramona Lisa;Caroline Polachek;Alaska Reid
Chaka Khan,1074606,9629197,Rufus;Patrice Rushen;Diana Ross
Cham,49546,250412,Beenie Man;Mr. Vegas;Konshens
Chamath Sangeeth,7960,56527,Yohani;Supun Perera;Dinesh Gamage
Chambao,215279,3626311,Macaco;Niña Pastori;Ojos de Brujo
Chamin Correa,1640,14834,Antonio Bribiesca;Orquesta Romántica de la Habana;Pepe Jara
Chamin Madero,1097,5266,Juan Veronico;Romanticos de la Guitarra;Chamín Correa
Champagne Drip,62218,687948,Of the Trees;LSDREAM;Mersiv
Chancho En Piedra,66395,2440873,Los Tetas;Los Tres;Joe Vasconcellos
Change,181206,1292467,Shalamar;D Train;Melba Moore
Chani Nattan,24179,480109,Sidhu Moose Wala;Sidhu Moosewala;Sultaan
Chantal Kreviazuk,295865,2597365,Amanda Marshall;Jann Arden;Jewel
Chantry Johnson,8158,93733,Disney Peaceful Guitar;Disney Ukulele;Disney Orgel
Chaos Descent,364,3187,Arsames;Eternal Lies;Ceremonial Perfection
Chaos Team,4753,19949,Rick Arena;DJ Düse;Killermichel
Chapa C,24519,191757,Aspirante;Macano;Jimmy Bad Boy
Chapel Of Disease,23066,422252,Sulphur Aeon;Tribulation;Necrowretch
Chapo102,39608,1101456,
Chapter & Verse,1335,4635,Nightfunk;Redfield;OOTORO
Charan Raj,1189,28132,Charanraj MR;Vasuki Vaibhav;Sanjith Hegde
Charlene Su,28222,169466,Patrick Hizon;niko rain;Dru Chen
Charleon,11915,68865,Peter Sax;Charlie Boulala;WiLDViBES
Charlie Cardona,4241,22034,Bembe Orquesta;Viti Ruiz;Hildemaro
Charlie Cruz,14393,62822,Kevin Ceballo;Frankie Negron;Huey Dunbar
Charlie Cunningham,270541,3472477,Blanco White;Old Sea Brigade;Dustin Tebbutt
Charlie Feathers,327971,1677975,Warren Smith;Billy Lee Riley;Carl Perkins
Charlie Haden,166242,1511222,Enrico Pieranunzi;Carla Bley;Charlie Haden Quartet West
Charlie Hightone and The Rock-It´s,739,6414,marcel bontempi;Rockin' Ryan & The Real Goners;Pat Capocci
Charlie Hope,23013,353981,Andrew & Polly;SteveSongs;Brent Holmes
Charlie Parr,70716,969115,Possessed By Paul James;Willie Watson;Hackensaw Boys
Charlie Puth,1956004,111696667,Lauv;Benny Blanco;JVKE
Charlie Recaido,1195,4629,Keoki Kahumoku;John Keawe;Sonny Lim
Charlie Rich,232771,1407931,Lynn Anderson;Mel Tillis;Johnny Rodriguez
Charlie Sparks (UK),40660,292069,Basswell;Nico Moreno;Krl Mx
Charlie Vergos,259,1747,Oscar Carvajal;Jj Whitehead;Jennifer McAuliffe
Charlie Walker,14959,79072,Hawkshaw Hawkins;Little Jimmy Dickens;Cowboy Copas
Charline Arthur,2018,9933,Charlie Adams;Terry Fell;Forest Rye
Charlo,6234,27836,Angel Vargas;Hector Maure;Ignacio Corsini
Charlotte Church,230831,1780883,Katherine Jenkins;Hayley Westenra;Jackie Evancho
Charlotte Heinke,168,2756,"Patrick Stanke;Original Hamburg Cast;Patrick Stanke, Charlotte Heinke"
Charlotte Lawrence,488472,6972700,Olivia O'Brien;Bea Miller;Carlie Hanson
Charlotte de Witte,152322,1773692,Amelie Lens;Deborah De Luca;Reinier Zonneveld
Charly Black,199468,1562884,Konshens;Busy Signal;Gyptian
Charly García,288808,16159526,Serú Girán;Sui Generis;La Máquina de Hacer Pájaros
Charly Lownoise,29622,195587,Sonicdriver;Hakkûhbar;DJ Weirdo
Charly Lownoise & Mental Theo,89706,797034,Dune;DJ Paul Elstak;Party Animals
Charmaine D'Avis,86463,504407,Pearl Melendez;Minik Knudsen;Rebecka Aether
Charmaine Fong,6031,118922,Terence Siufay;Alfred Hui;Phil Lam
Charmian Carr,100261,525685,Evadne Baker;Chorus and Orchestra;David Tomlinson
Charon,174619,6263734,Poisonblack;Entwine;The 69 Eyes
Charta 77,22111,1019481,Radioaktiva räker;Coca Carola;Strebers
Chas & Dave,32241,349217,The Beautiful South;Monty Python;The Streets
Chase & Status,1131531,29415117,Wilkinson;Sub Focus;Shy FX
Chase & Status And Blossoms,16239,81896,Hillsdom;Crissy Criss;Harriet Jaxxon
Chatham County Line,88910,684664,The Del McCoury Band;Chuck Prophet;Steep Canyon Rangers
Chatmonchy,65977,4735486,Base Ball Bear;GO!GO!7188;ねごと
Che'Nelle,49581,490423,Beni;May J.;Jasmine
Cheap Trick,1220415,13916643,Ace Frehley;Eddie Money;Styx
Cheat Codes,841815,12600335,Gryffin;NOTD;Jonas Blue
Checo Acosta,6356,35722,Los Tupamaros;Calixto Ochoa;Patricia Teherán
Cheer Chen,27130,2246083,陳珊妮;张悬;張懸
Chelsea Cutler,401409,10026798,Jeremy Zucker & Chelsea Cutler;Jeremy Zucker;Quinn XCII
Chelsea Grin,364258,14697376,Suicide Silence;Signs of the Swarm;Thy Art Is Murder
Chema Rivas,24826,235195,Fabbio;Daviles de Novelda;Robledo
Chemlab,91154,2022299,Sister Machine Gun;KMFDM;Machines of Loving Grace
Cheo Feliciano,118637,669149,Roberto Roena y Su Apollo Sound;Sonora Ponceña;Ismael Rivera
Cher Lloyd,933532,12755919,Cheryl;Cheryl Cole;Ashley Tisdale
Cheriimoya,169303,2690098,Sierra Kidd;Ufo361;Besomorph
Cherrie,28266,561087,Jireel;LAMix;Leslie Tay
Cheryl Freeman,127057,634108,Chorus - Hercules;Roger Bart;Lea Salonga
Cheryl Lynn,450227,2536560,"Evelyn ""Champagne"" King;Patrice Rushen;The Whispers"
Chess In Concert,88598,1226104,Tommy Körberg;Andrew Lloyd Webber;Stephen Sondheim
Chester Young,39619,299654,Jasted;Kitone;adriian
Chet Baker,1599935,41406458,Chet Baker Quartet;Gerry Mulligan;Paul Desmond
Chevelle,1459582,42312326,10 Years;Breaking Benjamin;Staind
Chewie Melodies,104512,1821882,AKano;Torby Brand;Fonzi M
Cheyenne Jackson,10686,157544,Jenn Gambatese;John Eric Parker;Alix Korey
Chez Damier,50716,227055,Ron Trent;Kerri Chandler;Mr. G
Chi Ching Ching,5985,24947,I-Octane;Govana;Chevaughn
ChiChi Peralta,174297,1064950,Juan Luis Guerra 4.40;Wilfrido Vargas;Eddy Herrera
Chiara Sasso,7932,29944,André Filho;Ju Cassou;Giulia Nadruz
Chicago,1532347,20534014,The Doobie Brothers;Peter Cetera;Styx
Chickenfoot,157508,2592286,The Winery Dogs;Black Country Communion;Joe Satriani
Chiclete Com Banana,119795,1458403,Asa de Águia;Banda Beijo;Ara Ketu
Chico Buarque,823912,42660794,Caetano Veloso;Cartola;Toquinho
Chico César,205571,2705049,Zeca Baleiro;Geraldo Azevedo;Lenine
Chico Getz,5407,12663,Felix Trapp;Brit Koch;Tyler Terrance
Chico Mann,32566,193089,Chicago Afrobeat Project;Aiff;Fanga
Chico Rey & Paraná,47144,494095,Milionário & José Rico;João Mineiro & Marciano;Matogrosso & Mathias
Chico Science,109823,3352500,Nação Zumbi;Mundo Livre S/A;Planet Hemp
Chico Teixeira,8039,25302,Caçulinha;Vitto Meirelles;LiLi Araujo
Chicão do Piseiro,11694,53040,Nêgo Jhá;VAQUEIRO SM;Pisadinha De Luxo
Chicão dos Teclados,3846,35473,Cido dos Teclados;Robério e Seus Teclados;O Melhor da Seresta
Chief Checker,4410,10896,Dynamic Africana;Tony Tete Harbor & The Star Heaters Of Nigeria;Eric (Showboy) Akaeze & His Royal Ericos
Chilam,4870,50467,Phil Lam;Kenny Bee;Joyce Cheng
Children Collide,83483,1196346,The Moog;Belasco;Slut
Children Of Bodom,1126024,79629643,Bodom After Midnight;Kalmah;Norther
Children's Music,21947,172965,Kids Party Music Players;Music for Children;Amy Liz
Childrens DJ's,991,4378,Nursery Rhymes;The Playtime Allstars;All 4 Kids
Chill Satellite,5464,34505,ghostdragon;Wrathe;Caslow
Chillies,25589,601802,Vũ.;Thịnh Suy;Da Lab
Chillowfy,4173,15360,Blue Motyl;Dovre;frek!
Chilly Gonzales,390846,9735491,Sofiane Pamart;Nils Frahm;Maxence Cyrin
Chimaira,510296,15770681,DevilDriver;Machine Head;Bleed the Sky
Chimarruts,161979,2188595,Maskavo;Planta e Raiz;Armandinho
Chimbala,71121,637617,Bulin 47;Don Miguelo;El Alfa
Chime,54704,900930,Skybreak;Ace Aura;Sharks
China Anne McClain,312876,2319104,Sarah Jeffery;McClain Sisters;Victorious Cast
China Crisis,224190,2001592,ABC;Heaven 17;Blancmange
Chingadazo de Kung Fu,14909,399271,LNG SHT;Panda;División Minúscula
Chingo Bling,44538,217494,Dat Boi T;Big Tuck;Trae & Z-Ro
Chininha,7388,32684,Robinho;Chininha & Príncipe;grupo pra valer
Chinmayi,30853,303979,Sid Sriram;Yazin nizar;Anirudh Ravichander
Chino & Nacho,200285,1872249,Joey Montana;Daddy Yankee;Wisin
Chino Laborde,777,3069,Angelito Martinez;Omar Mollo;Ariel Ardit
Chiodos,654344,22354996,Scary Kids Scaring Kids;From First to Last;Alesana
Chip E.,11895,33627,Liz Torres;J.M. Silk;On The House
Chiquitines TV,5050,68753,Duo Tiempo de Sol;Mariana Mallol;Canciones Infantiles Para Niños
Chiquito Team Band,11041,69385,Yiyo Sarante;Tony Vega;Tito Nieves
Chisato Moritaka,14411,635119,中山美穂;荻野目洋子;Wink
Chite,8743,136545,K-93;Los Suziox;Odio A Botero
Chitharth,958,5702,Vivek - Mervin;D. Imman;Santhosh Dhayanidhi
Chitãozinho & Xororó,263415,3341153,Leandro & Leonardo;Milionário & José Rico;Zezé Di Camargo & Luciano
Chivirico Davila,4673,20711,Ismael Quintana;Impacto Crea;Javier Vazquez
Chixdiggit!,46284,1055263,Teen Idols;Screeching Weasel;The Methadones
Chloe Agnew,30241,223387,Máiréad Nesbitt;Lisa Kelly;Meav Ni Mhaolchatha
Chloe Doyle,30223,105395,Tamara Blake;Christian Peterson-Bergling;Rebecca Kruse
Chloé (Thévenin),16654,68989,High Season;Chloé;Vivra Verra
Chloé Czans,13648,44378,Andreas Monta;Admalou;Derick Carson
Choi Yuree,23862,269720,Lee sang yi;Kwak Jin Eon;Jeon Mi Do
Choice,56109,463840,A Guy Called Gerald;RAP BOX;Kayuá
Choke,11803,252870,The Fullblast;Adhesive;Oversight
Choking Victim,225320,5065466,Leftöver Crack;No Cash;Star Fucking Hipsters
Chon,251933,8299674,Covet;Plini;Intervals
Choo Choo Soul,8530,61471,Imagination Movers;The Doodlebops;SteveSongs
Chopade,29022,204767,Sami Muni;Lugnet före stormen;Sir Martin Walker
Chord Overstreet,339275,3509647,Glee Cast;Lea Michele;Darren Criss
Chorus - Beauty And the Beast,660478,10819681,Brad Kane;Jodi Benson;George Bruns
Chorus - Hercules,161700,767120,Cheryl Freeman;Susan Egan;Roger Bart
Chorus - Pocahontas,41045,246794,Linda Hunt;David Ogden Stiers;Paul Kandel
Chorus - Sleeping Beauty,90177,827801,Mary Costa;Oliver Wallace;Alan Menken
Chorus - The Lion King 2: Simba's Pride,25088,161342,"Lebo M;Cam Clarke, Charity Sanoy, Ladysmith Black Mambazo;Suzanne Pleshette, Crysta Macalush, Andy Dick"
Chorus of Pinocchio,792,2075,Manfred Lichtenfeld;CAST - Cinderella;Peer Augustinski
Chosen Few,34642,207276,Technohead;Party Animals;Tellurian
ChouCho,59165,1701093,ClariS;fhána;鈴木このみ
Chowraasta,698,7263,Sunny Austin;Ram Miriyala;L. V. Revanth
Chri$tian Gate$,210523,6404113,Connor Kauffman;Call Me Karizma;SadBoyProlific
Chris & Cosey,88224,1204729,Portion Control;Severed Heads;Cabaret Voltaire
Chris Andrian Yang,22133,223055,Aziz Hedra;Rizky Febian;Gangga
Chris Botti,374361,5188495,Fourplay;Dave Koz;Rick Braun
Chris Brown,4175017,114355178,Chris Brown & Tyga;Trey Songz;August Alsina
Chris Cornell,1121712,20501450,Temple of the Dog;Soundgarden;Audioslave
Chris Cresswell,7534,173008,Northcote;Scorpios;Garrett Dale
Chris D'Elia,6161,47216,Tom Segura;Andrew Santino;Theo Von
Chris G.,2068,14970,Aslam;Shabareesh Varma;Clinton Cerejo
Chris Hardwick,22091,187096,nerdist;Nerdist Industries;Doug Benson
Chris James,131788,1775355,Merk & Kremont;Cheat Codes;The Chainsmokers
Chris Janson,121784,1456729,Justin Moore;Jake Owen;Cole Swindell
Chris Jedi,142944,1911686,Dei V;Anuel AA;Brytiago
Chris Keya,34767,191071,Nightstop;Neoslave;Dreamreaper
Chris Lake,643056,6670448,Fisher;Chris Lorenzo;John Summit
Chris Lanzon,57872,633415,By The Coast;Hazlett;Jeremy Zucker
Chris Liebing,90272,616040,Marco Bailey;UMEK;DJ Rush
Chris Lilley,10544,105897,S.mouse;Mr G;Andrew Hansen
Chris Lorenzo,278836,2255664,Chris Lake;Cloonee;Dom Dolla
Chris Malinchak,291912,2417906,Louis La Roche;Le Youth;Moon Boots
Chris McClarney,28274,283038,Marc James;Rita Springer;Rick Pino
Chris Montez,172695,882137,Jimmy Clanton;Gary Lewis & The Playboys;The Sandpipers
